Type,Category,Region,Attack on
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Non-Combat Event,Propaganda,RC SOUTH,NEUTRAL
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Suspicious Incident,Surveillance,RC CAPITAL,ENEMY
Suspicious Incident,Surveillance,RC CAPITAL,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,Cache Found/Cleared,RC SOUTH,FRIEND
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Enemy Action,Direct Fire,RC WEST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Explosive Hazard,Mine Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Other (Hostile Action),RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Explosive Hazard,Premature Detonation,RC EAST,ENEMY
Non-Combat Event,Propaganda,RC EAST,NEUTRAL
Friendly Action,Cache Found/Cleared,RC SOUTH,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Friendly Action,Cache Found/Cleared,RC SOUTH,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Cache Found/Cleared,RC WEST,FRIEND
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Explosive Hazard,Premature Detonation,RC SOUTH,ENEMY
Explosive Hazard,Turn In,RC SOUTH,ENEMY
